23024 , 3_6_9_17_27_28, 3
23025 , 4_16_20_21_31_32, 14
23026 , 1_18_26_30_31_33, 3
23027 , 8_10_22_27_32_33, 8
23028 , 5_7_10_17_20_22, 14
23029 , 3_7_12_24_28_33, 8
23030 , 2_3_7_16_30_31, 6
23031 , 7_14_27_29_31_33, 5
23032 , 6_19_20_26_28_33, 1
23033 , 8_9_13_23_24_26, 5
23034 , 2_3_9_11_12_17, 15
23035 , 1_4_9_10_20_33, 6
23036 , 13_14_18_19_24_30, 9
23037 , 8_23_25_26_29_31, 12
23038 , 2_9_14_17_31_33, 8
23039 , 2_3_9_13_19_28, 9
23040 , 9_16_17_24_29_31, 8
23041 , 1_6_12_13_15_24, 6
23042 , 10_17_20_23_27_30, 10
23043 , 5_8_12_20_24_28, 10
23044 , 2_8_15_22_24_26, 16
23045 , 3_6_12_21_27_28, 4
23046 , 6_8_17_25_26_28, 3
23047 , 5_7_14_23_31_33, 7
23048 , 2_3_10_24_28_30, 8
23049 , 5_7_14_23_25_27, 2
23050 , 2_7_9_14_22_23, 5
23051 , 22_26_29_30_32_33, 14
23052 , 3_4_5_8_12_17, 6
23053 , 1_7_14_20_27_30, 15
